host_total_listings_count,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,prediction
1.0,2,0,37.76408116967647,-122.45049589999789,6,0,4.0,1.0,2.0,2.0,0,4.0,8.0,90.0,10.0,9.0,10.0,10.0,10.0,9.0,250.0,231.21022730269925
1.0,4,12,37.767095940316,-122.42414923159042,0,0,2.0,1.0,1.0,1.0,0,2.0,299.0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,130.0,172.25222036422593
7.0,24,16,37.792941231143644,-122.40658665179993,8,2,1.0,2.5,1.0,2.0,0,30.0,13.0,96.0,9.0,8.0,10.0,10.0,10.0,9.0,29.0,172.25222036422593
1.0,29,17,37.762829396622216,-122.50749556165917,1,0,4.0,1.0,2.0,2.0,0,2.0,75.0,93.0,10.0,9.0,9.0,10.0,9.0,9.0,130.0,231.21022730269925
1.0,4,1,37.762587434471946,-122.42463652839972,0,0,6.0,1.0,3.0,3.0,0,2.0,99.0,92.0,10.0,9.0,9.0,9.0,10.0,9.0,405.0,290.16823424117257
2.0,35,10,37.810306334521286,-122.47642203616829,6,1,2.0,1.0,0.0,1.0,0,3.0,190.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,105.0,113.2942134257526
1.0,29,17,37.75927238908732,-122.5046928858582,0,0,2.0,1.0,0.0,1.0,2,2.0,89.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,125.0,113.2942134257526
2.0,2,0,37.76875413915869,-122.44890171699488,0,0,8.0,1.5,3.0,4.0,0,30.0,56.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,300.0,290.16823424117257
1.0,26,18,37.79690374249803,-122.44403065836235,1,0,4.0,2.0,3.0,3.0,0,30.0,5.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,350.0,290.16823424117257
1.0,17,9,37.7994136531721,-122.41507222667849,1,0,5.0,2.0,3.0,0.0,0,7.0,7.0,100.0,10.0,9.0,10.0,10.0,10.0,9.0,750.0,290.16823424117257
1.0,4,1,37.75894614229711,-122.41112132871008,1,0,4.0,1.0,2.0,2.0,0,2.0,46.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,155.0,231.21022730269925
1.0,14,7,37.74679360435628,-122.44761657896956,1,0,6.0,2.0,3.0,3.0,0,2.0,13.0,98.0,10.0,10.0,10.0,10.0,9.0,9.0,600.0,290.16823424117257
1.0,8,7,37.74247415159032,-122.42499131823128,0,0,2.0,1.0,0.0,1.0,0,3.0,82.0,91.0,9.0,10.0,10.0,10.0,10.0,9.0,140.0,113.2942134257526
1.0,29,17,37.757044400373786,-122.50818307803273,0,0,4.0,1.0,2.0,2.0,0,3.0,12.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,245.0,231.21022730269925
1.0,8,6,37.755251569622395,-122.43994719162669,1,1,2.0,1.0,1.0,1.0,2,1.0,270.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,79.0,172.25222036422593
1.0,1,13,37.73350146647724,-122.42868148121329,0,0,4.0,1.0,0.0,2.0,0,3.0,113.0,96.0,10.0,10.0,10.0,10.0,9.0,10.0,140.0,113.2942134257526
4.0,31,25,37.717003592330634,-122.46735067091915,1,1,3.0,1.0,1.0,3.0,0,1.0,196.0,80.0,9.0,7.0,9.0,9.0,8.0,8.0,60.0,172.25222036422593
1.0,1,1,37.73674580746479,-122.42180888425295,3,0,2.0,1.0,1.0,1.0,0,2.0,8.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,172.25222036422593
4.0,5,4,37.7622571040196,-122.39637848939205,1,1,2.0,2.0,1.0,1.0,0,1.0,12.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,120.0,172.25222036422593
1.0,26,18,37.80116547319249,-122.44134888059124,1,0,6.0,1.0,3.0,4.0,0,4.0,9.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,600.0,290.16823424117257
1.0,7,6,37.75643518038984,-122.44080387647983,0,1,2.0,1.0,1.0,1.0,0,1.0,272.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,99.0,172.25222036422593
1.0,2,0,37.774131112713754,-122.44109073133879,0,0,5.0,1.0,2.0,3.0,0,4.0,26.0,97.0,10.0,10.0,10.0,10.0,9.0,9.0,400.0,231.21022730269925
1.0,0,0,37.77445486706095,-122.43729081663204,0,0,4.0,1.5,2.0,2.0,0,30.0,19.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,300.0,231.21022730269925
1.0,15,19,37.7728428945825,-122.39686539739073,0,0,6.0,2.0,3.0,3.0,0,180.0,2.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,500.0,290.16823424117257
3.0,16,11,37.797527272910436,-122.42392245105162,0,0,2.0,1.0,1.0,1.0,0,30.0,110.0,97.0,10.0,9.0,10.0,10.0,10.0,9.0,180.0,172.25222036422593
2.0,25,17,37.75926643300141,-122.46311191325687,0,0,2.0,1.0,1.0,1.0,0,2.0,202.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,199.0,172.25222036422593
1.0,2,0,37.762234068363625,-122.44966534819278,0,0,2.0,1.0,1.0,1.0,0,30.0,29.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,200.0,172.25222036422593
2.0,1,1,37.738735662423146,-122.41623805097369,0,1,2.0,1.0,1.0,1.0,0,2.0,118.0,97.0,10.0,10.0,10.0,10.0,9.0,9.0,90.0,172.25222036422593
1.0,9,8,37.77443817824601,-122.48746195741062,3,0,2.0,1.0,1.0,1.0,0,5.0,59.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,164.0,172.25222036422593
2.0,4,4,37.75470020607421,-122.40303419054385,0,0,2.0,1.0,1.0,0.0,0,30.0,96.0,99.0,10.0,10.0,10.0,10.0,9.0,10.0,137.0,172.25222036422593
1.0,26,18,37.798756543545814,-122.4418422969843,0,1,2.0,1.0,1.0,1.0,0,2.0,124.0,90.0,9.0,9.0,9.0,9.0,9.0,9.0,108.0,172.25222036422593
1.0,0,5,37.77371430091471,-122.42471505080259,1,0,4.0,1.0,2.0,2.0,0,4.0,127.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,350.0,231.21022730269925
1.0,4,12,37.76829039791973,-122.42478700984523,1,0,2.0,1.0,1.0,1.0,0,2.0,134.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,166.0,172.25222036422593
3.0,16,18,37.7965877280697,-122.42750693260899,0,1,3.0,1.5,2.0,2.0,0,1.0,17.0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,320.0,231.21022730269925
5.0,0,0,37.770896680548724,-122.42853678630371,0,0,3.0,3.0,2.0,2.0,0,30.0,27.0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,140.0,231.21022730269925
1.0,1,1,37.74376408426205,-122.40898684556706,1,1,2.0,1.5,1.0,1.0,0,2.0,54.0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,115.0,172.25222036422593
3.0,26,18,37.8044238707446,-122.43761669223349,1,0,4.0,1.0,2.0,3.0,0,2.0,12.0,93.0,9.0,9.0,10.0,10.0,10.0,9.0,595.0,231.21022730269925
5.0,22,2,37.73531929577014,-122.46429460671335,1,1,2.0,3.0,1.0,1.0,0,1.0,72.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,46.0,172.25222036422593
1.0,4,1,37.764087334815436,-122.41658968757608,9,0,6.0,2.0,2.0,3.0,0,2.0,112.0,96.0,10.0,10.0,10.0,9.0,9.0,9.0,395.0,231.21022730269925
1.0,27,21,37.744742241787314,-122.49084692540009,1,0,4.0,1.0,2.0,2.0,0,1.0,199.0,93.0,10.0,9.0,10.0,10.0,9.0,9.0,209.0,231.21022730269925
4.0,12,9,37.794609063181724,-122.41213183037763,0,1,2.0,1.0,1.0,1.0,0,1.0,235.0,88.0,9.0,9.0,9.0,9.0,10.0,9.0,85.0,172.25222036422593
1.0,23,15,37.73908081323667,-122.38356907797605,1,0,4.0,1.0,2.0,2.0,0,2.0,115.0,96.0,10.0,10.0,10.0,10.0,9.0,10.0,210.0,231.21022730269925
3.0,3,13,37.72670833132862,-122.43537615117144,1,0,4.0,1.0,2.0,2.0,0,2.0,289.0,96.0,10.0,10.0,10.0,10.0,9.0,10.0,155.0,231.21022730269925
4.0,5,4,37.759481475211395,-122.40349975908916,1,0,1.0,1.0,1.0,1.0,1,2.0,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,400.0,172.25222036422593
1.0,25,17,37.75654259417106,-122.46642517515016,1,1,2.0,1.0,1.0,1.0,0,3.0,135.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0,172.25222036422593
2.0,17,11,37.79884095804784,-122.42024168852079,0,0,2.0,1.0,1.0,1.0,0,30.0,41.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,135.0,172.25222036422593
1.0,5,4,37.75432067200449,-122.40017140845235,0,1,2.0,1.0,1.0,1.0,0,30.0,45.0,88.0,9.0,9.0,10.0,10.0,9.0,9.0,78.0,172.25222036422593
2.0,8,6,37.75038966438833,-122.43892988946344,0,0,6.0,2.0,2.0,3.0,0,30.0,62.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,239.0,231.21022730269925
4.0,12,9,37.79660649853228,-122.41248657708981,0,1,2.0,1.0,1.0,1.0,0,1.0,142.0,90.0,9.0,9.0,10.0,9.0,9.0,9.0,79.0,172.25222036422593
1.0,0,0,37.77662048711709,-122.44431574195184,1,0,2.0,1.0,1.0,1.0,0,2.0,150.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,165.0,172.25222036422593
4.0,4,12,37.770697125049594,-122.42375579963912,1,1,2.0,1.0,1.0,1.0,0,1.0,14.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,175.0,172.25222036422593
1.0,29,17,37.762952805699705,-122.48324337981244,0,0,4.0,1.0,1.0,2.0,0,2.0,198.0,92.0,9.0,9.0,10.0,10.0,9.0,9.0,140.0,172.25222036422593
5.0,22,2,37.74159258435915,-122.46578197080092,1,1,2.0,1.0,1.0,1.0,0,4.0,291.0,96.0,10.0,9.0,10.0,10.0,10.0,10.0,69.0,172.25222036422593
1.0,34,7,37.73601846633893,-122.44301620609684,1,0,3.0,1.0,1.0,1.0,0,1.0,4.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,158.0,172.25222036422593
1.0,2,0,37.77469240947981,-122.4395632626816,0,1,2.0,1.0,1.0,1.0,0,2.0,69.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,165.0,172.25222036422593
1.0,8,6,37.75377955606441,-122.43697801857904,1,0,2.0,1.5,1.0,1.0,0,4.0,20.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,155.0,172.25222036422593
3.0,18,10,37.776926672005494,-122.45823597974443,1,1,2.0,1.0,1.0,1.0,0,2.0,22.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0,172.25222036422593
3.0,16,3,37.789806887999525,-122.43411193246892,1,1,2.0,1.0,1.0,1.0,0,1.0,363.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,129.0,172.25222036422593
1.0,31,13,37.721723049989045,-122.45335062050484,1,1,1.0,1.0,1.0,1.0,0,1.0,5.0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,120.0,172.25222036422593
10.0,2,0,37.76894262424544,-122.44778223886064,1,1,2.0,3.0,1.0,2.0,0,32.0,5.0,64.0,6.0,6.0,10.0,9.0,9.0,8.0,85.0,172.25222036422593
2.0,4,1,37.75488840691342,-122.41020910524401,1,1,4.0,1.0,1.0,1.0,0,2.0,18.0,91.0,10.0,9.0,10.0,10.0,10.0,9.0,175.0,172.25222036422593
2.0,0,3,37.77914285655876,-122.44413079502131,0,0,6.0,1.0,2.0,3.0,0,2.0,27.0,95.0,10.0,9.0,10.0,10.0,9.0,9.0,225.0,231.21022730269925
1.0,3,7,37.73353889327107,-122.43711334884442,3,0,4.0,1.0,1.0,2.0,0,1.0,88.0,86.0,9.0,9.0,9.0,9.0,9.0,8.0,120.0,172.25222036422593
4.0,4,1,37.749329349831456,-122.41079246439556,0,0,6.0,2.0,3.0,4.0,0,3.0,34.0,95.0,10.0,10.0,10.0,10.0,9.0,10.0,300.0,290.16823424117257
6.0,22,2,37.729137084583456,-122.46300824387224,1,1,2.0,1.0,1.0,1.0,0,2.0,23.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0,172.25222036422593
1.0,18,0,37.77556129112249,-122.45497960310252,6,1,4.0,2.0,1.0,2.0,0,1.0,105.0,96.0,10.0,9.0,10.0,10.0,10.0,10.0,140.0,172.25222036422593
5.0,2,0,37.762506988138135,-122.44803053331705,1,1,2.0,0.0,1.0,1.0,0,2.0,33.0,97.0,10.0,9.0,10.0,10.0,10.0,10.0,125.0,172.25222036422593
15.0,26,18,37.79785832901684,-122.4257149841008,4,0,2.0,1.0,1.0,1.0,0,1.0,117.0,88.0,9.0,9.0,10.0,10.0,10.0,9.0,99.0,172.25222036422593
1.0,7,6,37.764281642571156,-122.43449943865106,0,1,1.0,1.0,1.0,1.0,0,3.0,72.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,120.0,172.25222036422593
4.0,23,15,37.73416169457515,-122.39197947051449,1,1,1.0,1.5,1.0,1.0,0,1.0,13.0,98.0,10.0,10.0,10.0,10.0,8.0,10.0,77.0,172.25222036422593
1.0,8,6,37.74951020553564,-122.43947472707079,1,0,6.0,2.0,3.0,4.0,0,2.0,8.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,195.0,290.16823424117257
1.0,9,8,37.78083140375213,-122.49418081105928,0,0,3.0,1.0,2.0,2.0,0,2.0,8.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,200.0,231.21022730269925
4.0,4,1,37.756526602191336,-122.40921797580076,0,1,1.0,2.0,3.0,1.0,0,1.0,24.0,96.0,10.0,10.0,9.0,10.0,9.0,9.0,69.0,290.16823424117257
1.0,7,6,37.760315551770475,-122.42885756440779,0,0,4.0,1.0,2.0,2.0,0,2.0,179.0,90.0,9.0,10.0,10.0,9.0,10.0,9.0,180.0,231.21022730269925
2.0,1,1,37.74244442983257,-122.42095116243885,1,0,6.0,2.0,3.0,4.0,0,2.0,29.0,98.0,9.0,10.0,10.0,10.0,10.0,10.0,439.0,290.16823424117257
2.0,30,22,37.713385879460986,-122.39833341633684,1,0,7.0,1.0,2.0,4.0,0,3.0,24.0,94.0,10.0,9.0,10.0,10.0,9.0,9.0,250.0,231.21022730269925
1.0,33,13,37.711609218768395,-122.43760891826176,1,0,10.0,1.0,5.0,8.0,0,30.0,20.0,90.0,9.0,8.0,10.0,10.0,9.0,9.0,325.0,408.08424811811926
2.0,17,11,37.80150925897283,-122.41982150587043,0,0,3.0,1.0,1.0,2.0,0,30.0,141.0,93.0,9.0,10.0,10.0,9.0,10.0,9.0,105.0,172.25222036422593
8.0,6,11,37.78575998550958,-122.41489138148182,0,1,2.0,1.0,1.0,1.0,0,1.0,294.0,88.0,9.0,9.0,10.0,10.0,8.0,9.0,59.0,172.25222036422593
2.0,18,10,37.78477876980549,-122.46803496741272,1,1,2.0,1.0,1.0,1.0,0,1.0,251.0,92.0,9.0,9.0,10.0,10.0,9.0,9.0,75.0,172.25222036422593
1.0,18,10,37.778182577831394,-122.4764539539825,0,0,3.0,1.0,2.0,2.0,0,2.0,135.0,89.0,9.0,9.0,9.0,9.0,9.0,9.0,150.0,231.21022730269925
8.0,6,11,37.78456950314601,-122.41455042564871,0,1,2.0,1.0,1.0,1.0,0,1.0,313.0,89.0,9.0,9.0,10.0,10.0,8.0,9.0,69.0,172.25222036422593
6.0,33,13,37.71052307844757,-122.44645299488873,1,1,2.0,1.0,1.0,1.0,0,2.0,12.0,82.0,9.0,10.0,9.0,9.0,8.0,8.0,80.0,172.25222036422593
4.0,5,4,37.764874220246675,-122.39762672259356,7,0,2.0,1.0,1.0,1.0,0,1.0,568.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,220.0,172.25222036422593
8.0,4,1,37.757833857687466,-122.4130873968818,0,2,1.0,2.0,1.0,1.0,0,30.0,112.0,96.0,10.0,9.0,10.0,10.0,9.0,10.0,33.0,172.25222036422593
7.0,23,15,37.72615597069056,-122.38389971495029,0,1,2.0,1.0,1.0,1.0,0,30.0,0.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,55.0,172.25222036422593
1.0,27,21,37.74374058152657,-122.48462584356243,1,1,1.0,1.0,1.0,1.0,0,2.0,74.0,96.0,10.0,10.0,10.0,10.0,9.0,10.0,92.0,172.25222036422593
1.0,2,0,37.77474825864231,-122.44211950473496,0,1,1.0,1.5,1.0,1.0,2,30.0,15.0,95.0,10.0,10.0,10.0,9.0,10.0,9.0,80.0,172.25222036422593
1.0,8,6,37.756134206615116,-122.4308102366423,0,1,2.0,1.5,1.0,1.0,0,3.0,102.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,165.0,172.25222036422593
2.0,7,6,37.75923385696124,-122.43482190372488,0,1,2.0,1.0,1.0,1.0,0,31.0,3.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,180.0,172.25222036422593
3.0,14,6,37.757088582586434,-122.44322662492586,1,1,2.0,1.0,1.0,1.0,0,1.0,162.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,110.0,172.25222036422593
2.0,9,8,37.78093392129577,-122.49425115022824,0,0,6.0,1.0,0.0,3.0,0,2.0,226.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,178.0,113.2942134257526
1.0,2,0,37.77131492515371,-122.43976384467642,0,0,2.0,1.0,0.0,1.0,2,3.0,26.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,175.0,113.2942134257526
1.0,4,1,37.759898758457865,-122.4078099413255,0,0,3.0,1.0,0.0,3.0,0,2.0,192.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0,113.2942134257526
1.0,7,6,37.758753524118205,-122.43363933606808,0,0,2.0,1.0,0.0,1.0,0,3.0,195.0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,135.0,113.2942134257526
1.0,34,7,37.746783547251844,-122.44246429202437,1,1,4.0,1.5,1.0,2.0,0,2.0,90.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0,172.25222036422593
1.0,33,13,37.709317642673824,-122.4339502649755,5,0,6.0,1.0,4.0,5.0,0,1.0,126.0,91.0,9.0,10.0,10.0,10.0,9.0,9.0,275.0,349.1262411796459
2.0,29,17,37.76413014391372,-122.48368854359845,1,1,4.0,1.0,1.0,1.0,0,1.0,100.0,86.0,9.0,8.0,10.0,10.0,9.0,9.0,80.0,172.25222036422593
2.0,10,9,37.79911364258532,-122.40566780535327,1,0,4.0,2.0,2.0,2.0,0,2.0,33.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,625.0,231.21022730269925
1.0,2,0,37.77403330800786,-122.4446477660257,0,0,4.0,1.0,1.0,2.0,0,4.0,48.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,160.0,172.25222036422593
1.0,2,0,37.7745175838356,-122.44490079119156,13,0,2.0,1.0,0.0,1.0,0,3.0,122.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,250.0,113.2942134257526
6.0,18,10,37.775278927226665,-122.46232918642444,1,1,2.0,1.0,1.0,1.0,0,30.0,17.0,99.0,10.0,10.0,10.0,10.0,9.0,9.0,200.0,172.25222036422593
1.0,8,6,37.750295576896704,-122.44204444898882,1,0,5.0,2.0,3.0,3.0,0,3.0,9.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,250.0,290.16823424117257
1.0,7,6,37.76295825660704,-122.43115705521693,6,1,2.0,1.0,1.0,1.0,0,3.0,89.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,59.0,172.25222036422593
2.0,6,11,37.788274228821685,-122.41505796028262,0,1,2.0,1.0,1.0,1.0,0,2.0,133.0,94.0,10.0,9.0,10.0,10.0,10.0,9.0,79.0,172.25222036422593
16.0,21,20,37.78857404666921,-122.40267553616941,0,0,4.0,1.5,1.0,2.0,0,1.0,2.0,100.0,10.0,10.0,10.0,10.0,10.0,8.0,675.0,172.25222036422593
2.0,23,15,37.73437131653799,-122.39533968151585,1,0,2.0,1.0,1.0,2.0,0,30.0,13.0,97.0,10.0,10.0,10.0,10.0,8.0,9.0,89.0,172.25222036422593
2.0,4,1,37.75838851811906,-122.41904514788914,1,0,2.0,1.5,1.0,1.0,0,3.0,13.0,98.0,10.0,10.0,10.0,10.0,9.0,9.0,199.0,172.25222036422593
1.0,10,9,37.79958328680009,-122.40624627050634,0,0,4.0,1.0,2.0,4.0,0,5.0,5.0,96.0,10.0,9.0,10.0,10.0,10.0,10.0,300.0,231.21022730269925
1.0,4,1,37.75712692120743,-122.41523907080223,1,0,7.0,1.0,3.0,3.0,0,4.0,11.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,350.0,290.16823424117257
1.0,1,1,37.74752137891095,-122.41938314192312,1,0,2.0,1.0,1.0,1.0,0,1.0,45.0,96.0,10.0,9.0,10.0,10.0,9.0,9.0,210.0,172.25222036422593
1.0,17,9,37.798246731741045,-122.41090287797171,1,1,2.0,1.0,1.0,1.0,0,2.0,204.0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,177.0,172.25222036422593
1.0,29,21,37.7467133611494,-122.50667923943796,1,1,2.0,1.0,1.0,1.0,0,2.0,43.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,95.0,172.25222036422593
1.0,7,6,37.75607601777165,-122.43801135995676,0,0,2.0,1.0,0.0,1.0,0,1.0,203.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,238.0,113.2942134257526
1.0,26,18,37.7969815368285,-122.44384179838299,1,0,3.0,1.0,1.0,2.0,0,2.0,42.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,250.0,172.25222036422593
15.0,26,18,37.79781375189043,-122.42501872883473,4,0,6.0,1.0,1.0,3.0,0,1.0,81.0,86.0,9.0,9.0,9.0,9.0,9.0,9.0,209.0,172.25222036422593
15.0,26,18,37.797478929295615,-122.42566359156973,4,0,4.0,1.0,1.0,2.0,0,1.0,127.0,83.0,8.0,9.0,9.0,9.0,10.0,8.0,129.0,172.25222036422593
1.0,8,7,37.74714548995314,-122.43058795278476,0,0,2.0,1.0,2.0,2.0,0,1.0,54.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,350.0,231.21022730269925
1.0,8,6,37.75143520377865,-122.44167981013334,1,0,6.0,2.0,3.0,3.0,0,3.0,8.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,350.0,290.16823424117257
5.0,2,0,37.76219110652481,-122.44834937109863,5,0,6.0,2.0,2.0,4.0,0,2.0,35.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,300.0,231.21022730269925
3.0,0,0,37.77252151838996,-122.43215647138364,2,1,2.0,1.0,1.0,1.0,0,2.0,297.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,110.0,172.25222036422593
1.0,4,1,37.75043576963552,-122.41010167350365,0,0,4.0,1.5,2.0,3.0,0,5.0,4.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,240.0,231.21022730269925
32.0,24,16,37.791350848221974,-122.40827928603427,0,0,2.0,1.0,1.0,1.0,0,30.0,4.0,90.0,10.0,10.0,10.0,10.0,10.0,10.0,109.0,172.25222036422593
1.0,9,8,37.78306574746896,-122.48604734940129,6,0,5.0,2.0,3.0,4.0,0,3.0,4.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,450.0,290.16823424117257
1.0,22,2,37.731303384999315,-122.46152008396278,0,0,3.0,1.0,0.0,2.0,0,2.0,198.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,139.0,113.2942134257526
1.0,4,1,37.75631936972899,-122.4047789531847,1,0,2.0,1.0,1.0,1.0,0,2.0,42.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,145.0,172.25222036422593
75.0,6,5,37.78835532275191,-122.40915690188518,0,0,4.0,1.0,0.0,2.0,0,1.0,33.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,249.0,113.2942134257526
2.0,4,1,37.75527729714649,-122.41047741520563,6,0,6.0,1.0,2.0,4.0,0,3.0,3.0,93.0,9.0,9.0,10.0,10.0,8.0,9.0,349.0,231.21022730269925
1.0,15,12,37.77248453843896,-122.40779854041044,12,0,4.0,1.5,1.0,2.0,0,30.0,4.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,250.0,172.25222036422593
1.0,8,7,37.74744439154865,-122.43573514558649,1,0,2.0,1.0,0.0,1.0,0,4.0,43.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,265.0,113.2942134257526
1.0,7,6,37.756896691142074,-122.4340230761907,0,1,2.0,1.0,1.0,1.0,0,2.0,58.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,124.0,172.25222036422593
2.0,15,4,37.77681134309718,-122.39719763029171,12,1,1.0,1.5,1.0,1.0,1,30.0,4.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,375.0,172.25222036422593
3.0,1,1,37.74817690355147,-122.41884061184128,1,0,5.0,1.0,2.0,3.0,0,1.0,17.0,95.0,10.0,9.0,10.0,10.0,9.0,9.0,350.0,231.21022730269925
2.0,15,19,37.77502797328976,-122.39641224298687,0,0,3.0,1.0,1.0,1.0,0,2.0,1.0,100.0,10.0,10.0,10.0,10.0,10.0,8.0,265.0,172.25222036422593
